,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
2392,06M218,I.S. 218 SALOME URENA,2015,81,280.0,42.0,31.0,6.0,2.0
2404,06M223,THE MOTT HALL SCHOOL,2015,90,336.0,8.0,12.0,34.0,36.0
2425,06M278,PAULA HEDBAVNY SCHOOL,2015,63,323.0,6.0,22.0,25.0,10.0
2437,06M293,CITY COLLEGE ACADEMY OF THE ARTS,2015,53,311.0,7.0,28.0,17.0,1.0
2458,06M311,AMISTAD DUAL LANGUAGE SCHOOL,2015,37,299.0,6.0,27.0,2.0,2.0
2481,06M319,M.S. 319 - MARIA TERESA,2015,190,295.0,54.0,113.0,20.0,3.0
2493,06M322,MIDDLE SCHOOL 322,2015,134,282.0,69.0,47.0,14.0,4.0
2505,06M324,M.S. 324 - PATRIA MIRABAL,2015,68,287.0,33.0,23.0,8.0,4.0
2529,06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,2015,103,276.0,66.0,30.0,5.0,2.0
2541,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,2015,93,266.0,66.0,25.0,2.0,0.0
2553,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,2015,72,285.0,37.0,32.0,3.0,0.0
2565,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,2015,94,310.0,12.0,55.0,19.0,8.0
2577,06M349,HARBOR HEIGHTS,2015,71,282.0,37.0,27.0,7.0,0.0
2615,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,2015,63,281.0,33.0,25.0,5.0,0.0
2645,07X005,PS 5 PORT MORRIS,2015,82,268.0,62.0,20.0,0.0,0.0
2691,07X029,P.S./M.S. 029 MELROSE SCHOOL,2015,52,259.0,39.0,13.0,0.0,0.0
2724,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,2015,95,263.0,68.0,20.0,5.0,2.0
2774,07X151,J.H.S. 151 LOU GEHRIG,2015,86,270.0,55.0,25.0,5.0,1.0
2822,07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,2015,116,263.0,86.0,27.0,3.0,0.0
2844,07X203,M.S. 203,2015,72,270.0,44.0,25.0,3.0,0.0
2856,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,2015,86,288.0,36.0,43.0,7.0,0.0
2868,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,2015,85,323.0,9.0,26.0,36.0,14.0
2880,07X224,P.S. / I.S. 224,2015,107,280.0,58.0,42.0,7.0,0.0
2906,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,2015,103,264.0,78.0,22.0,3.0,0.0
2918,07X298,ACADEMY OF PUBLIC RELATIONS,2015,99,261.0,87.0,11.0,1.0,0.0
2931,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,2015,94,291.0,37.0,39.0,14.0,4.0
2968,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2015,18,224.0,17.0,1.0,0.0,0.0
2980,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,2015,69,266.0,45.0,21.0,2.0,1.0
3063,08X071,P.S. 071 ROSE E. SCALA,2015,178,316.0,28.0,72.0,47.0,31.0
3125,08X101,M.S. X101 EDWARD R. BYRNE,2015,131,305.0,43.0,42.0,24.0,22.0
3162,08X123,J.H.S. 123 JAMES M. KIERAN,2015,141,264.0,106.0,34.0,1.0,0.0
3175,08X125,J.H.S. 125 HENRY HUDSON,2015,103,273.0,70.0,31.0,2.0,0.0
3199,08X131,J.H.S. 131 ALBERT EINSTEIN,2015,209,280.0,115.0,77.0,13.0,4.0
3272,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,2015,53,283.0,31.0,17.0,4.0,1.0
3284,08X301,M.S. 301 PAUL L. DUNBAR,2015,73,259.0,66.0,7.0,0.0,0.0
3296,08X302,M.S. 302 LUISA DESSUS CRUZ,2015,187,267.0,139.0,42.0,6.0,0.0
3345,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,2015,63,293.0,23.0,30.0,10.0,0.0
3357,08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,2015,68,269.0,50.0,17.0,1.0,0.0
3369,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",2015,73,285.0,33.0,32.0,5.0,3.0
3382,08X371,URBAN INSTITUTE OF MATHEMATICS,2015,74,280.0,43.0,26.0,5.0,0.0
3394,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,2015,94,269.0,68.0,26.0,0.0,0.0
3406,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,2015,49,270.0,38.0,11.0,0.0,0.0
3418,08X424,THE HUNTS POINT SCHOOL,2015,130,269.0,88.0,38.0,2.0,2.0
3430,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,2015,82,259.0,70.0,12.0,0.0,0.0
3442,08X467,MOTT HALL COMMUNITY SCHOOL,2015,54,259.0,46.0,8.0,0.0,0.0
3451,08X562,BLUEPRINT MIDDLE SCHOOL,2015,86,271.0,59.0,22.0,4.0,1.0
3472,09X004,P.S./M.S. 004 CROTONA PARK WEST,2015,54,299.0,17.0,24.0,11.0,2.0
3496,09X022,J.H.S. 022 JORDAN L. MOTT,2015,180,256.0,152.0,23.0,5.0,0.0
3668,09X117,I.S. 117 JOSEPH H. WADE,2015,191,262.0,151.0,30.0,9.0,1.0
