,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
3957,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,6,2015,All Students,63,267.0,38.0,21.0,3.0,1.0
3961,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,7,2015,All Students,51,270.0,36.0,14.0,1.0,0.0
3964,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,8,2015,All Students,45,271.0,26.0,18.0,1.0,0.0
3970,09X339,I.S. 339,6,2015,All Students,172,271.0,111.0,52.0,9.0,0.0
3973,09X339,I.S. 339,7,2015,All Students,148,270.0,110.0,34.0,4.0,0.0
3976,09X339,I.S. 339,8,2015,All Students,190,275.0,117.0,66.0,6.0,1.0
3981,09X350,NEW DIRECTIONS SECONDARY SCHOOL,6,2015,All Students,21,259.0,17.0,3.0,0.0,1.0
3983,09X350,NEW DIRECTIONS SECONDARY SCHOOL,7,2015,All Students,41,261.0,35.0,6.0,0.0,0.0
3984,09X350,NEW DIRECTIONS SECONDARY SCHOOL,8,2015,All Students,27,272.0,18.0,9.0,0.0,0.0
3988,09X361,THE HIGHBRIDGE GREEN SCHOOL,6,2015,All Students,130,280.0,67.0,52.0,8.0,3.0
3989,09X361,THE HIGHBRIDGE GREEN SCHOOL,7,2015,All Students,125,284.0,71.0,48.0,5.0,1.0
3994,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,6,2015,All Students,51,305.0,10.0,21.0,18.0,2.0
3997,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,7,2015,All Students,62,303.0,15.0,31.0,15.0,1.0
4000,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,8,2015,All Students,51,290.0,25.0,16.0,6.0,4.0
4029,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,6,2015,All Students,143,311.0,24.0,48.0,41.0,30.0
4032,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,7,2015,All Students,141,303.0,46.0,57.0,27.0,11.0
4035,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,8,2015,All Students,145,305.0,37.0,67.0,30.0,11.0
4053,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",6,2015,All Students,89,299.0,26.0,35.0,19.0,9.0
4056,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",7,2015,All Students,89,307.0,23.0,42.0,19.0,5.0
4059,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",8,2015,All Students,85,321.0,9.0,30.0,25.0,21.0
4068,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,6,2015,All Students,66,317.0,5.0,26.0,24.0,11.0
4070,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,7,2015,All Students,80,316.0,10.0,37.0,24.0,9.0
4071,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,8,2015,All Students,72,312.0,9.0,40.0,18.0,5.0
4086,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,6,2015,All Students,24,305.0,4.0,14.0,5.0,1.0
4089,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,7,2015,All Students,39,307.0,10.0,20.0,9.0,0.0
4092,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,8,2015,All Students,3,,,,,
4124,10X254,I.S. 254,7,2015,All Students,137,289.0,71.0,39.0,20.0,7.0
4144,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,6,2015,All Students,64,309.0,17.0,16.0,13.0,18.0
4147,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,7,2015,All Students,58,324.0,9.0,19.0,11.0,19.0
4150,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,8,2015,All Students,63,303.0,19.0,27.0,11.0,6.0
4165,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",6,2015,All Students,84,294.0,32.0,40.0,9.0,3.0
4168,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",7,2015,All Students,96,292.0,45.0,34.0,15.0,2.0
4171,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",8,2015,All Students,63,301.0,20.0,26.0,12.0,5.0
4234,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,6,2015,All Students,69,318.0,8.0,28.0,15.0,18.0
4237,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,7,2015,All Students,62,303.0,14.0,34.0,11.0,3.0
4240,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,8,2015,All Students,78,288.0,37.0,30.0,9.0,2.0
4246,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,6,2015,All Students,219,276.0,117.0,90.0,11.0,1.0
4249,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,7,2015,All Students,244,281.0,137.0,83.0,20.0,4.0
4252,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,8,2015,All Students,169,267.0,119.0,48.0,2.0,0.0
4318,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,6,2015,All Students,203,273.0,116.0,66.0,18.0,3.0
4321,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,7,2015,All Students,198,279.0,121.0,67.0,8.0,2.0
4324,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,8,2015,All Students,228,265.0,166.0,56.0,6.0,0.0
4363,10X086,P.S. 086 KINGSBRIDGE HEIGHTS,6,2015,All Students,194,309.0,41.0,76.0,39.0,38.0
4402,10X095,P.S. 095 SHEILA MENCHER,6,2015,All Students,138,287.0,69.0,47.0,19.0,3.0
4405,10X095,P.S. 095 SHEILA MENCHER,7,2015,All Students,140,290.0,73.0,43.0,16.0,8.0
4408,10X095,P.S. 095 SHEILA MENCHER,8,2015,All Students,94,281.0,51.0,39.0,4.0,0.0
4414,10X118,J.H.S. 118 WILLIAM W. NILES,6,2015,All Students,366,301.0,117.0,114.0,69.0,66.0
4417,10X118,J.H.S. 118 WILLIAM W. NILES,7,2015,All Students,373,294.0,155.0,122.0,68.0,28.0
4420,10X118,J.H.S. 118 WILLIAM W. NILES,8,2015,All Students,384,297.0,144.0,128.0,65.0,47.0
4427,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),6,2015,All Students,233,313.0,37.0,77.0,70.0,49.0
4430,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),7,2015,All Students,216,315.0,47.0,69.0,60.0,40.0
4433,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),8,2015,All Students,139,299.0,41.0,62.0,24.0,12.0
4465,10X206,I.S. 206 ANN MERSEREAU,6,2015,All Students,74,285.0,32.0,35.0,5.0,2.0
4468,10X206,I.S. 206 ANN MERSEREAU,7,2015,All Students,102,275.0,72.0,25.0,5.0,0.0
4471,10X206,I.S. 206 ANN MERSEREAU,8,2015,All Students,83,277.0,44.0,36.0,3.0,0.0
4477,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,6,2015,All Students,71,295.0,23.0,34.0,11.0,3.0
4480,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,7,2015,All Students,66,303.0,20.0,29.0,14.0,3.0
4483,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,8,2015,All Students,67,300.0,15.0,40.0,10.0,2.0
4499,10X228,JONAS BRONCK ACADEMY,6,2015,All Students,86,300.0,25.0,39.0,14.0,8.0
4502,10X228,JONAS BRONCK ACADEMY,7,2015,All Students,85,305.0,20.0,43.0,18.0,4.0
4505,10X228,JONAS BRONCK ACADEMY,8,2015,All Students,83,316.0,8.0,41.0,25.0,9.0
4511,10X243,WEST BRONX ACADEMY FOR THE FUTURE,6,2015,All Students,82,285.0,37.0,35.0,6.0,4.0
4514,10X243,WEST BRONX ACADEMY FOR THE FUTURE,7,2015,All Students,81,293.0,34.0,33.0,12.0,2.0
4517,10X243,WEST BRONX ACADEMY FOR THE FUTURE,8,2015,All Students,56,286.0,24.0,30.0,2.0,0.0
4523,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,6,2015,All Students,172,301.0,49.0,61.0,37.0,25.0
4526,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,7,2015,All Students,298,296.0,126.0,96.0,56.0,20.0
4529,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,8,2015,All Students,227,294.0,73.0,134.0,19.0,1.0
4548,10X254,I.S. 254,6,2015,All Students,173,276.0,92.0,62.0,12.0,7.0
4551,10X254,I.S. 254,8,2015,All Students,158,286.0,76.0,64.0,16.0,2.0
4566,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",6,2015,All Students,113,295.0,37.0,50.0,18.0,8.0
4569,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",7,2015,All Students,108,283.0,62.0,38.0,4.0,4.0
4572,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",8,2015,All Students,135,292.0,50.0,66.0,15.0,4.0
4587,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,6,2015,All Students,96,309.0,22.0,30.0,22.0,22.0
4590,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,7,2015,All Students,85,293.0,39.0,29.0,13.0,4.0
4593,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,8,2015,All Students,81,305.0,21.0,33.0,22.0,5.0
4623,14K582,M.S. 582,8,2015,All Students,54,274.0,40.0,14.0,0.0,0.0
4635,10X308,BRONX DANCE ACADEMY SCHOOL,6,2015,All Students,86,300.0,24.0,42.0,15.0,5.0
4638,10X308,BRONX DANCE ACADEMY SCHOOL,7,2015,All Students,86,297.0,31.0,39.0,13.0,3.0
4641,10X308,BRONX DANCE ACADEMY SCHOOL,8,2015,All Students,65,317.0,10.0,23.0,27.0,5.0
4669,10X315,P.S. 315 LAB SCHOOL,6,2015,All Students,27,294.0,9.0,11.0,6.0,1.0
4672,10X315,P.S. 315 LAB SCHOOL,7,2015,All Students,48,291.0,22.0,13.0,13.0,0.0
4675,10X315,P.S. 315 LAB SCHOOL,8,2015,All Students,35,309.0,11.0,6.0,14.0,4.0
4681,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,6,2015,All Students,130,279.0,67.0,54.0,6.0,3.0
4684,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,7,2015,All Students,117,278.0,77.0,35.0,5.0,0.0
4687,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,8,2015,All Students,120,282.0,59.0,52.0,7.0,2.0
4707,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,6,2015,All Students,54,280.0,27.0,22.0,4.0,1.0
4710,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,7,2015,All Students,50,281.0,30.0,13.0,7.0,0.0
4713,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,8,2015,All Students,51,284.0,28.0,20.0,2.0,1.0
4745,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,6,2015,All Students,126,269.0,86.0,34.0,6.0,0.0
4748,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,7,2015,All Students,146,284.0,76.0,57.0,13.0,0.0
4751,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,8,2015,All Students,105,278.0,60.0,42.0,3.0,0.0
4758,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),6,2015,All Students,155,287.0,70.0,50.0,23.0,12.0
4761,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),7,2015,All Students,146,287.0,68.0,58.0,19.0,1.0
4764,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),8,2015,All Students,119,273.0,76.0,41.0,2.0,0.0
4794,10X390,M.S. 390,6,2015,All Students,148,275.0,91.0,38.0,15.0,4.0
4797,10X390,M.S. 390,8,2015,All Students,101,274.0,60.0,33.0,8.0,0.0
4803,10X391,THE ANGELO PATRI MIDDLE SCHOOL,6,2015,All Students,168,264.0,120.0,39.0,3.0,6.0
4806,10X391,THE ANGELO PATRI MIDDLE SCHOOL,7,2015,All Students,154,268.0,118.0,26.0,8.0,2.0
4809,10X391,THE ANGELO PATRI MIDDLE SCHOOL,8,2015,All Students,175,261.0,143.0,28.0,4.0,0.0
4827,10X447,CRESTON ACADEMY,6,2015,All Students,153,283.0,73.0,56.0,19.0,5.0
4830,10X447,CRESTON ACADEMY,7,2015,All Students,163,293.0,67.0,70.0,22.0,4.0
4833,10X447,CRESTON ACADEMY,8,2015,All Students,146,296.0,58.0,51.0,24.0,13.0
4839,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,6,2015,All Students,100,265.0,66.0,32.0,2.0,0.0
4842,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,7,2015,All Students,118,272.0,89.0,28.0,1.0,0.0
4845,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,8,2015,All Students,109,260.0,90.0,19.0,0.0,0.0
4872,11X019,P.S. 019 JUDITH K. WEISS,6,2015,All Students,54,321.0,9.0,20.0,8.0,17.0
4875,11X019,P.S. 019 JUDITH K. WEISS,7,2015,All Students,50,320.0,7.0,14.0,19.0,10.0
4878,11X019,P.S. 019 JUDITH K. WEISS,8,2015,All Students,53,315.0,12.0,16.0,11.0,14.0
4885,11X089,P.S. 089 BRONX,6,2015,All Students,182,290.0,80.0,64.0,24.0,14.0
4955,11X083,P.S. 083 DONALD HERTZ,6,2015,All Students,217,312.0,43.0,77.0,42.0,55.0
4958,11X083,P.S. 083 DONALD HERTZ,7,2015,All Students,221,305.0,71.0,75.0,41.0,34.0
4961,11X083,P.S. 083 DONALD HERTZ,8,2015,All Students,200,308.0,46.0,91.0,37.0,26.0
4991,11X089,P.S. 089 BRONX,7,2015,All Students,159,288.0,74.0,59.0,21.0,5.0
4994,11X089,P.S. 089 BRONX,8,2015,All Students,120,274.0,84.0,32.0,4.0,0.0
5109,11X127,J.H.S. 127 THE CASTLE HILL,6,2015,All Students,215,303.0,63.0,70.0,51.0,31.0
5112,11X127,J.H.S. 127 THE CASTLE HILL,7,2015,All Students,256,303.0,88.0,83.0,58.0,27.0
5115,11X127,J.H.S. 127 THE CASTLE HILL,8,2015,All Students,195,282.0,109.0,72.0,10.0,4.0
5125,11X142,MS 142 JOHN PHILIP SOUSA,8,2015,All Students,108,268.0,78.0,27.0,3.0,0.0
5131,11X144,J.H.S. 144 MICHELANGELO,6,2015,All Students,163,282.0,85.0,57.0,18.0,3.0
5134,11X144,J.H.S. 144 MICHELANGELO,7,2015,All Students,161,275.0,110.0,46.0,5.0,0.0
5137,11X144,J.H.S. 144 MICHELANGELO,8,2015,All Students,165,270.0,122.0,41.0,2.0,0.0
5187,11X175,P.S. 175 CITY ISLAND,6,2015,All Students,39,316.0,5.0,14.0,10.0,10.0
5190,11X175,P.S. 175 CITY ISLAND,7,2015,All Students,30,331.0,3.0,7.0,12.0,8.0
5193,11X175,P.S. 175 CITY ISLAND,8,2015,All Students,45,311.0,8.0,23.0,10.0,4.0
5211,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,6,2015,All Students,274,307.0,57.0,105.0,66.0,46.0
5214,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,7,2015,All Students,286,308.0,64.0,126.0,72.0,24.0
5217,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,8,2015,All Students,284,302.0,81.0,124.0,64.0,15.0
5224,11X181,I.S. 181 PABLO CASALS,6,2015,All Students,265,298.0,93.0,84.0,41.0,47.0
5227,11X181,I.S. 181 PABLO CASALS,7,2015,All Students,276,308.0,86.0,83.0,70.0,37.0
5230,11X181,I.S. 181 PABLO CASALS,8,2015,All Students,297,301.0,114.0,87.0,56.0,40.0
5257,11X194,PS/MS 194,6,2015,All Students,151,322.0,24.0,45.0,31.0,51.0
5260,11X194,PS/MS 194,7,2015,All Students,149,313.0,36.0,43.0,40.0,30.0
5263,11X194,PS/MS 194,8,2015,All Students,153,307.0,40.0,60.0,32.0,21.0
5269,11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,6,2015,All Students,58,274.0,32.0,20.0,5.0,1.0
5272,11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,7,2015,All Students,75,274.0,47.0,22.0,6.0,0.0
5275,11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,8,2015,All Students,91,273.0,61.0,28.0,0.0,2.0
5281,11X287,THE FORWARD SCHOOL,6,2015,All Students,81,271.0,58.0,20.0,1.0,2.0
5284,11X287,THE FORWARD SCHOOL,7,2015,All Students,84,269.0,66.0,16.0,2.0,0.0
5287,11X287,THE FORWARD SCHOOL,8,2015,All Students,73,264.0,56.0,16.0,0.0,1.0
5294,11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,6,2015,All Students,97,276.0,52.0,40.0,5.0,0.0
5297,11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,7,2015,All Students,108,283.0,65.0,32.0,11.0,0.0
5300,11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,8,2015,All Students,111,269.0,77.0,29.0,4.0,1.0
5306,11X326,BRONX GREEN MIDDLE SCHOOL,6,2015,All Students,129,289.0,55.0,56.0,11.0,7.0
5309,11X326,BRONX GREEN MIDDLE SCHOOL,7,2015,All Students,132,285.0,67.0,44.0,21.0,0.0
5312,11X326,BRONX GREEN MIDDLE SCHOOL,8,2015,All Students,95,267.0,72.0,23.0,0.0,0.0
5317,11X355,BRONX ALLIANCE MIDDLE SCHOOL,6,2015,All Students,92,272.0,54.0,31.0,7.0,0.0
5318,11X355,BRONX ALLIANCE MIDDLE SCHOOL,7,2015,All Students,107,275.0,75.0,23.0,9.0,0.0
5323,11X370,SCHOOL OF DIPLOMACY,6,2015,All Students,75,263.0,47.0,26.0,2.0,0.0
5326,11X370,SCHOOL OF DIPLOMACY,7,2015,All Students,69,266.0,48.0,16.0,4.0,1.0
5330,11X370,SCHOOL OF DIPLOMACY,8,2015,All Students,81,281.0,40.0,36.0,5.0,0.0
5336,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),6,2015,All Students,76,315.0,9.0,33.0,21.0,13.0
5339,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),7,2015,All Students,75,300.0,23.0,36.0,16.0,0.0
5342,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),8,2015,All Students,81,283.0,51.0,18.0,11.0,1.0
5348,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,6,2015,All Students,110,289.0,39.0,48.0,19.0,4.0
5351,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,7,2015,All Students,127,294.0,48.0,57.0,20.0,2.0
5354,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,8,2015,All Students,92,287.0,41.0,39.0,10.0,2.0
5357,11X532,BAYCHESTER MIDDLE SCHOOL,6,2015,All Students,90,303.0,19.0,41.0,20.0,10.0
5367,23K392,I.S. 392,7,2015,All Students,60,325.0,3.0,21.0,25.0,11.0
5368,11X498,PS/MS 11X498 - VAN NEST ACADEMY,6,2015,All Students,94,305.0,22.0,37.0,22.0,13.0
5371,11X498,PS/MS 11X498 - VAN NEST ACADEMY,7,2015,All Students,87,314.0,12.0,44.0,28.0,3.0
5374,11X498,PS/MS 11X498 - VAN NEST ACADEMY,8,2015,All Students,79,295.0,30.0,35.0,10.0,4.0
5380,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,6,2015,All Students,97,280.0,58.0,30.0,9.0,0.0
5383,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,7,2015,All Students,98,297.0,32.0,44.0,19.0,3.0
5385,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,8,2015,All Students,121,286.0,54.0,54.0,12.0,1.0
5393,11X532,BAYCHESTER MIDDLE SCHOOL,7,2015,All Students,83,303.0,23.0,35.0,20.0,5.0
5395,11X532,BAYCHESTER MIDDLE SCHOOL,8,2015,All Students,109,283.0,51.0,46.0,10.0,2.0
5401,11X556,BRONX PARK MIDDLE SCHOOL,6,2015,All Students,137,276.0,79.0,46.0,8.0,4.0
5403,11X556,BRONX PARK MIDDLE SCHOOL,7,2015,All Students,122,283.0,74.0,38.0,10.0,0.0
5404,11X556,BRONX PARK MIDDLE SCHOOL,8,2015,All Students,130,280.0,75.0,47.0,7.0,1.0
5410,11X566,PELHAM GARDENS MIDDLE SCHOOL,6,2015,All Students,148,281.0,73.0,55.0,18.0,2.0
5412,11X566,PELHAM GARDENS MIDDLE SCHOOL,7,2015,All Students,158,282.0,91.0,52.0,11.0,4.0
5413,11X566,PELHAM GARDENS MIDDLE SCHOOL,8,2015,All Students,148,287.0,60.0,70.0,15.0,3.0
5526,12X098,J.H.S. 098 HERMAN RIDDER,6,2015,All Students,70,278.0,36.0,23.0,5.0,6.0
5529,12X098,J.H.S. 098 HERMAN RIDDER,7,2015,All Students,62,274.0,47.0,12.0,3.0,0.0
5532,12X098,J.H.S. 098 HERMAN RIDDER,8,2015,All Students,101,283.0,43.0,48.0,8.0,2.0
5538,12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,6,2015,All Students,196,284.0,95.0,69.0,29.0,3.0
5541,12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,7,2015,All Students,149,294.0,69.0,46.0,26.0,8.0
5544,12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,8,2015,All Students,145,279.0,82.0,54.0,8.0,1.0
5574,12X190,E.S.M.T- I.S. 190,6,2015,All Students,71,280.0,34.0,30.0,5.0,2.0
5577,12X190,E.S.M.T- I.S. 190,7,2015,All Students,70,285.0,42.0,21.0,7.0,0.0
5580,12X190,E.S.M.T- I.S. 190,8,2015,All Students,80,288.0,40.0,28.0,11.0,1.0
5618,12X211,P.S. 211,6,2015,All Students,54,289.0,20.0,21.0,10.0,3.0
5621,12X211,P.S. 211,7,2015,All Students,87,295.0,37.0,25.0,19.0,6.0
5624,12X211,P.S. 211,8,2015,All Students,76,303.0,22.0,27.0,18.0,9.0
5633,12X212,P.S. 212,6,2015,All Students,51,299.0,14.0,19.0,12.0,6.0
5636,12X212,P.S. 212,7,2015,All Students,57,272.0,43.0,11.0,3.0,0.0
5639,12X212,P.S. 212,8,2015,All Students,62,300.0,14.0,37.0,10.0,1.0
5654,12X214,P.S. 214,6,2015,All Students,130,289.0,54.0,41.0,19.0,16.0
5657,12X214,P.S. 214,7,2015,All Students,139,288.0,80.0,35.0,12.0,12.0
5660,12X214,P.S. 214,8,2015,All Students,118,271.0,78.0,36.0,4.0,0.0
5666,12X217,SCHOOL OF PERFORMING ARTS,6,2015,All Students,113,267.0,82.0,24.0,6.0,1.0
5669,12X217,SCHOOL OF PERFORMING ARTS,7,2015,All Students,98,267.0,75.0,22.0,1.0,0.0
5672,12X217,SCHOOL OF PERFORMING ARTS,8,2015,All Students,111,268.0,74.0,31.0,5.0,1.0
5678,12X242,MOTT HALL V,6,2015,All Students,100,297.0,33.0,42.0,16.0,9.0
5681,12X242,MOTT HALL V,7,2015,All Students,98,283.0,58.0,25.0,15.0,0.0
5684,12X242,MOTT HALL V,8,2015,All Students,99,284.0,50.0,34.0,9.0,6.0
5690,12X267,BRONX LATIN,6,2015,All Students,78,291.0,30.0,31.0,13.0,4.0
5693,12X267,BRONX LATIN,7,2015,All Students,83,288.0,44.0,27.0,10.0,2.0
5696,12X267,BRONX LATIN,8,2015,All Students,45,277.0,27.0,17.0,1.0,0.0
5702,12X271,EAST BRONX ACADEMY FOR THE FUTURE,6,2015,All Students,83,267.0,54.0,24.0,4.0,1.0
5705,12X271,EAST BRONX ACADEMY FOR THE FUTURE,7,2015,All Students,79,291.0,37.0,27.0,12.0,3.0
5708,12X271,EAST BRONX ACADEMY FOR THE FUTURE,8,2015,All Students,79,288.0,33.0,41.0,2.0,3.0
5714,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,6,2015,All Students,82,287.0,36.0,30.0,13.0,3.0
5717,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,7,2015,All Students,82,291.0,36.0,40.0,6.0,0.0
5720,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,8,2015,All Students,76,277.0,46.0,27.0,3.0,0.0
5727,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,6,2015,All Students,86,273.0,55.0,23.0,5.0,3.0
5730,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,7,2015,All Students,81,276.0,50.0,29.0,2.0,0.0
5733,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,8,2015,All Students,79,286.0,38.0,31.0,7.0,3.0
5753,12X316,KAPPA III,6,2015,All Students,112,293.0,40.0,45.0,19.0,8.0
5756,12X316,KAPPA III,7,2015,All Students,107,306.0,33.0,32.0,32.0,10.0
5759,12X316,KAPPA III,8,2015,All Students,102,296.0,40.0,44.0,10.0,8.0
5765,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",6,2015,All Students,95,280.0,52.0,33.0,9.0,1.0
5768,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",7,2015,All Students,92,264.0,77.0,12.0,3.0,0.0
5771,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",8,2015,All Students,102,288.0,42.0,45.0,9.0,6.0
5777,12X341,ACCION ACADEMY,6,2015,All Students,34,280.0,16.0,12.0,5.0,1.0
5780,12X341,ACCION ACADEMY,7,2015,All Students,62,273.0,45.0,13.0,4.0,0.0
5783,12X341,ACCION ACADEMY,8,2015,All Students,38,281.0,21.0,13.0,4.0,0.0
5789,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,6,2015,All Students,58,270.0,39.0,12.0,6.0,1.0
5792,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,7,2015,All Students,62,277.0,42.0,17.0,3.0,0.0
5795,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,8,2015,All Students,63,297.0,20.0,29.0,11.0,3.0
5801,12X383,EMOLIOR ACADEMY,6,2015,All Students,73,276.0,41.0,25.0,6.0,1.0
5804,12X383,EMOLIOR ACADEMY,7,2015,All Students,82,289.0,35.0,32.0,14.0,1.0
5807,12X383,EMOLIOR ACADEMY,8,2015,All Students,75,295.0,34.0,20.0,14.0,7.0
5813,12X384,ENTRADA ACADEMY,6,2015,All Students,91,265.0,67.0,22.0,2.0,0.0
5816,12X384,ENTRADA ACADEMY,7,2015,All Students,93,264.0,75.0,16.0,2.0,0.0
5819,12X384,ENTRADA ACADEMY,8,2015,All Students,91,271.0,61.0,24.0,5.0,1.0
5888,13K008,P.S. 008 ROBERT FULTON,6,2015,All Students,68,309.0,13.0,26.0,19.0,10.0
5890,13K008,P.S. 008 ROBERT FULTON,7,2015,All Students,49,315.0,6.0,22.0,16.0,5.0
5891,13K008,P.S. 008 ROBERT FULTON,8,2015,All Students,30,306.0,8.0,12.0,7.0,3.0
