,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
879,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,7,2015,All Students,10,311.0,3.0,1.0,6.0,0.0
882,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,8,2015,All Students,16,320.0,0.0,11.0,2.0,3.0
888,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,6,2015,All Students,21,338.0,0.0,5.0,4.0,12.0
891,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,7,2015,All Students,30,337.0,0.0,7.0,14.0,9.0
894,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,8,2015,All Students,21,317.0,0.0,12.0,8.0,1.0
900,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,6,2015,All Students,94,325.0,7.0,31.0,26.0,30.0
903,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,7,2015,All Students,96,331.0,9.0,21.0,38.0,28.0
906,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,8,2015,All Students,85,326.0,2.0,32.0,37.0,14.0
913,02M422,QUEST TO LEARN,6,2015,All Students,89,316.0,15.0,31.0,22.0,21.0
916,02M422,QUEST TO LEARN,7,2015,All Students,102,313.0,16.0,45.0,30.0,11.0
919,02M422,QUEST TO LEARN,8,2015,All Students,55,279.0,30.0,24.0,1.0,0.0
931,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",6,2015,All Students,22,342.0,0.0,2.0,10.0,10.0
934,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",7,2015,All Students,22,355.0,1.0,1.0,4.0,16.0
937,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",8,2015,All Students,20,347.0,0.0,5.0,6.0,9.0
943,02M655,LIFE SCIENCES SECONDARY SCHOOL,6,2015,All Students,18,278.0,8.0,10.0,0.0,0.0
946,02M655,LIFE SCIENCES SECONDARY SCHOOL,7,2015,All Students,22,270.0,19.0,3.0,0.0,0.0
949,02M655,LIFE SCIENCES SECONDARY SCHOOL,8,2015,All Students,22,274.0,15.0,7.0,0.0,0.0
955,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,6,2015,All Students,109,318.0,13.0,35.0,36.0,25.0
959,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,7,2015,All Students,114,314.0,26.0,36.0,35.0,17.0
962,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,8,2015,All Students,93,319.0,15.0,35.0,22.0,21.0
